temperature,humidity,time,motion,light,person_count,co2
217,37,1516018319205742989,0,38,4,382
218,37,1516018379183199661,0,40,4,379
218,37,1516018439179621941,0,46,4,383
217,37,1516018499172730941,0,37,4,389
218,37,1516018559165349977,0,24,4,372
218,37,1516018619166152996,0,24,4,387
221,43,1516027862229830200,2,34,3,1165
221,43,1516027918613526658,0,33,3,1176
221,43,1516027978601493766,0,33,3,1159
221,43,1516028038606334138,0,33,3,1170
221,43,1516028098601046870,0,31,3,1180
221,43,1516028158595386946,0,31,3,1171
221,43,1516028218597091212,0,32,3,1175
222,43,1516028278591438166,0,32,3,1171
221,43,1516028338701573182,0,33,3,1191
221,43,1516028398605460182,0,33,3,1186
221,43,1516028439783420450,1,33,3,1186
221,43,1516028480981841699,1,32,3,1175
221,43,1516028522346792683,2,34,3,1196
221,43,1516028578678296449,0,36,3,1177
221,43,1516028638664793959,0,38,3,1203
221,43,1516028698682064559,0,38,3,1184
221,43,1516028758621456188,0,38,3,1175
221,43,1516028818561616385,0,39,3,1199
221,43,1516028878554592630,0,37,3,1218
221,43,1516028938561251640,0,36,3,1204
221,43,1516028998545944926,0,36,3,1199
221,43,1516029058541488541,0,37,3,1201
221,43,1516029118540199473,0,36,3,1211
221,43,1516029178539757779,0,35,3,1219
221,43,1516029238547084007,0,34,3,1200
221,43,1516029298532719417,0,33,3,1225
221,43,1516029418622965570,0,32,3,1219
221,43,1516029478588597834,0,31,3,1208
221,43,1516029538530868929,0,30,3,1234
221,43,1516029598528911093,0,30,3,1209
221,43,1516029658521007255,0,29,3,1222
221,43,1516029718506988945,0,29,3,1213
221,43,1516029778502766553,0,30,3,1240
221,43,1516029837740353716,1,30,3,1240
221,43,1516029898487901573,0,30,3,1231
221,43,1516029958492552123,0,29,3,1233
221,43,1516030018496268754,0,29,3,1229
222,43,1516030078480197846,0,29,3,1222
221,43,1516030138488591101,0,29,3,1232
221,43,1516030198628082255,0,29,3,1238
221,43,1516030239674561553,1,29,3,1238
221,43,1516030280890498373,2,29,3,1216
221,43,1516030322067340649,1,29,3,1234
221,43,1516030378474710547,0,29,3,1241
221,43,1516030438462930051,0,28,3,1237
221,43,1516030498465924299,0,28,3,1231
221,43,1516030558451508539,0,28,3,1237
221,43,1516030618451869713,0,28,3,1243
222,43,1516030738447959612,0,28,3,1251
221,43,1516030798501849922,0,28,3,1235
221,43,1516030918435561289,0,27,3,1254
221,43,1516030978429217268,0,27,3,1254
221,43,1516031038420914165,0,27,3,1227
221,43,1516031098429753211,0,26,3,1253
221,43,1516031158416147718,0,26,3,1240
221,43,1516031218433107177,0,26,3,1260
221,43,1516031338405895548,0,27,3,1272
221,43,1516031379610684244,1,27,3,1272
221,43,1516031420832853260,2,28,3,1258
218,40,1516033978258669068,0,1,1,782
218,40,1516034038246203972,0,1,1,761
218,40,1516034098289877903,0,1,1,758
218,40,1516034158262838812,0,1,1,758
218,40,1516034218240044082,0,1,1,762
218,40,1516034278241679982,0,1,1,762
218,40,1516034338285614364,0,1,1,759
218,40,1516034398235236263,0,1,1,741
218,40,1516034458230590756,0,1,1,753
218,40,1516034518225589289,0,1,1,737
218,40,1516034578221086238,0,1,1,734
218,40,1516034638231007507,0,1,1,735
217,40,1516034698213238617,0,1,1,742
218,40,1516034758231369094,0,1,1,720
218,40,1516034818213167676,0,1,1,717
218,40,1516034878201464949,0,1,1,712
218,40,1516034938197328768,0,1,1,713
218,40,1516035058189709461,0,1,1,708
218,40,1516035118200589556,0,1,1,696
218,40,1516035178187631836,0,1,1,702
218,40,1516035238183536436,0,1,1,702
218,40,1516035298176609598,0,1,1,704
218,40,1516035358180638382,0,1,1,678
218,40,1516035418176908166,0,1,1,685
218,40,1516035478183631811,0,1,1,677
218,40,1516035538164367502,0,1,1,687
218,40,1516035598199034680,0,1,1,679
218,40,1516035658151987017,0,1,1,678
218,40,1516035718164422043,0,1,1,673
217,40,1516035778152478801,0,1,1,665
217,40,1516035838156160829,0,1,1,672
218,40,1516035898159456111,0,1,1,659
218,40,1516035958145923174,0,1,1,671
218,40,1516036018137433520,0,1,1,667
218,40,1516036138125408430,0,1,1,659
217,40,1516036198130475785,0,1,1,671
217,40,1516036258184742237,0,1,1,647
217,40,1516036318125503176,0,1,1,657
216,40,1516036378118362338,0,1,1,653
215,40,1516036438112160418,0,1,1,646
216,40,1516036498116700932,0,1,1,647
215,40,1516036558118677838,0,1,1,647
215,40,1516036618117527067,0,1,1,646
215,40,1516036678180881369,0,1,1,633
214,40,1516036738118790562,0,1,1,645
213,40,1516036858089381068,0,1,1,628
213,40,1516036918080431578,0,1,1,634
212,41,1516037038070461542,0,1,1,634
211,41,1516037098073150673,0,1,1,627
211,41,1516037158073564789,0,1,1,630
211,41,1516037218081829234,0,1,1,624
211,41,1516037278067984441,0,1,1,620
210,41,1516037338060726252,0,1,1,628
210,41,1516037398063463437,0,1,1,634
209,41,1516037458057640751,0,1,1,616
210,41,1516037518053974206,0,1,1,615
186,45,1516047837438748515,0,1,5,508
187,45,1516047897443807141,0,1,5,491
186,45,1516048017446897106,0,1,5,495
186,45,1516048137425512898,0,1,5,499
186,45,1516048197422713099,0,1,5,495
186,45,1516048257426551915,0,1,5,505
186,45,1516048317420321176,0,1,5,491
186,45,1516048377413361324,0,1,5,500
186,45,1516048437417967798,0,1,5,499
186,45,1516048497405921776,0,1,5,497
186,45,1516048617407016559,0,1,5,498
186,45,1516048737390323429,0,1,5,501
185,45,1516048857436317191,0,1,5,505
185,45,1516048917396585029,0,1,5,501
185,45,1516049097386841865,0,1,5,500
185,45,1516049217462167299,0,1,5,493
184,45,1516049337382288522,0,1,5,500
184,45,1516049457373535354,0,1,5,501
185,45,1516049577342723948,0,1,5,498
184,45,1516049637346361763,0,1,5,496
184,45,1516049697334352517,0,1,5,509
185,46,1516049757335227434,0,1,5,497
184,46,1516049817570677303,0,1,5,498
184,46,1516049937322536709,0,1,5,498
184,45,1516049997315174275,0,1,5,502
184,46,1516050057319422489,0,1,5,494
184,46,1516050117316892977,0,1,5,489
184,45,1516050177306530169,0,1,5,495
184,46,1516050297350552458,0,0,5,498
184,46,1516050357295438609,0,1,5,498
183,46,1516050417295256053,0,1,5,495
184,46,1516050537286489861,0,1,5,499
183,46,1516050657288774844,0,1,5,484
184,46,1516050717283582626,0,1,5,493
183,46,1516050777380660214,0,1,5,492
183,46,1516050837292726547,0,1,5,500
183,46,1516050957265239181,0,1,5,500
183,46,1516051017263271849,0,1,5,503
183,46,1516051137260826194,0,1,5,493
183,46,1516051197255513511,0,1,5,500
183,46,1516051257245687587,0,1,5,500
183,46,1516051377240246083,0,1,5,507
223,39,1516087735118089211,0,1,1,412
223,39,1516087795114618894,0,1,1,405
222,39,1516087855116731338,0,1,1,412
222,39,1516087915110200745,0,1,1,415
222,39,1516087975112973131,0,1,1,417
222,40,1516088035110499799,0,1,1,412
222,40,1516088095104934793,0,1,1,414
222,40,1516088155101779977,0,1,1,409
221,40,1516088275089853244,0,1,1,417
222,40,1516088335090638014,0,1,1,412
221,40,1516088395085821764,0,1,1,416
221,40,1516088455089048446,0,2,1,410
221,40,1516088515083950546,0,2,1,409
221,40,1516088575076613518,0,2,1,414
221,40,1516088635068442370,0,2,1,416
221,40,1516088755064997581,0,2,1,405
220,40,1516088815067043935,0,3,1,412
220,40,1516088875091394187,0,3,1,411
220,40,1516088935056447621,0,3,1,406
221,40,1516088995070082590,0,4,1,412
221,40,1516089055044206652,0,4,1,412
220,40,1516089115052013985,0,4,1,405
220,40,1516089175042022406,0,5,1,409
220,40,1516089235034502916,0,4,1,408
220,40,1516089295033526926,0,3,1,420
220,40,1516089355029604221,0,3,1,410
220,40,1516089415026385395,0,4,1,410
220,40,1516089475023411615,0,4,1,407
220,40,1516089535029561185,0,4,1,418
220,40,1516089595010565904,0,4,1,411
220,40,1516089715039830764,0,4,1,415
220,40,1516089775002688583,0,4,1,419
220,40,1516089816205997286,1,4,1,419
220,40,1516089857404090825,2,4,1,415
220,40,1516089898605684268,1,4,1,417
220,40,1516089954991844412,0,4,1,418
220,40,1516090015647076433,0,5,1,416
220,40,1516090075055475013,0,4,1,421
219,40,1516090134980766739,0,4,1,417
219,40,1516090194979088106,0,5,1,419
219,40,1516090254979901730,0,5,1,426
219,40,1516090314968634389,0,6,1,432
219,40,1516090374973798639,0,5,1,423
219,40,1516090494966122691,0,4,1,426
219,40,1516090554960109548,0,4,1,427
219,40,1516090614967294279,0,4,1,425
219,40,1516090674946564792,0,5,1,417
219,40,1516090734951974230,0,6,1,419
219,40,1516090854937547132,0,7,1,422
219,40,1516090914945502297,0,6,1,428
219,40,1516091034928705411,0,12,1,425
220,40,1516091154924162951,0,26,1,426
220,40,1516091274912674033,0,28,1,425
224,40,1516097574547634019,0,66,2,494
223,40,1516097634544844516,0,79,2,505
224,40,1516097694539954620,0,66,2,502
223,40,1516097754537913471,0,39,2,500
223,40,1516097814530453334,0,40,2,509
223,40,1516097934538522255,0,33,2,495
223,40,1516097994521633085,0,48,2,510
222,40,1516098054513047573,0,56,2,504
223,40,1516098114523976115,0,53,2,509
222,40,1516098174516951900,0,73,2,501
222,40,1516098234506138902,0,91,2,501
222,40,1516098294505226852,0,110,2,507
222,40,1516098354500254460,0,128,2,505
222,41,1516098414498138448,0,173,2,516
222,40,1516098474492995145,0,137,2,508
222,41,1516098534486620773,0,172,2,511
222,41,1516098594492826334,0,323,2,506
222,41,1516098654482656880,0,275,2,519
222,41,1516098714477165680,0,170,2,519
221,41,1516098774482432844,0,210,2,522
221,41,1516098834474433294,0,118,2,511
221,41,1516098894466158661,0,101,2,522
221,41,1516098935671047598,1,101,2,522
221,41,1516099018059330180,1,106,2,556
221,40,1516099074459523387,0,184,2,562
221,41,1516099194492580144,0,110,2,554
221,41,1516099254561098160,0,130,2,556
221,41,1516099314450119561,0,175,2,556
221,41,1516099374439507925,0,125,2,560
221,41,1516099494435507065,0,74,2,554
221,41,1516099674424049328,0,140,2,559
221,41,1516099734425728977,0,157,2,555
221,41,1516099794426461267,0,156,2,570
221,41,1516099854409636434,0,162,2,553
221,41,1516099914404603784,0,166,2,573
221,41,1516100034498788331,0,303,2,574
221,41,1516100154423765685,0,461,2,566
221,41,1516100274471868941,0,400,2,566
221,41,1516100334713746761,0,583,2,574
221,41,1516100454543158586,0,180,2,571
222,41,1516100574366616150,0,180,2,568
221,41,1516100634371757209,0,179,2,575
221,41,1516100694382477326,0,197,2,575
221,41,1516100754490186779,0,218,2,581
222,41,1516100814468690557,0,191,2,579
221,41,1516100874445825086,0,169,2,571
222,41,1516100934452487500,0,212,2,581
221,41,1516100994979992515,0,161,2,581
221,41,1516101054445925668,0,153,2,589
226,41,1516114013591030816,0,45,1,738
226,41,1516114073581008944,0,49,1,741
226,41,1516114133597286079,0,217,1,734
226,41,1516114193577289381,0,111,1,750
226,41,1516114253568932302,0,85,1,737
226,41,1516114313580917367,0,76,1,739
226,41,1516114373561174894,0,98,1,731
225,41,1516114433559922600,0,348,1,732
226,41,1516114493758344888,0,377,1,746
225,41,1516114553556196408,0,374,1,735
226,41,1516114733539973678,0,366,3,752
226,41,1516114793535937458,0,325,3,751
225,41,1516114853553553165,0,361,3,744
226,41,1516114913641778237,0,351,3,749
226,41,1516114973525026158,0,260,3,754
226,41,1516115033550346462,0,121,3,771
226,41,1516115093525082473,0,318,3,750
226,41,1516115153513124516,0,278,3,761
226,41,1516115213524431486,0,205,3,748
226,41,1516115273505385795,0,91,3,762
226,41,1516115393518087060,0,43,3,754
226,41,1516115453789018937,0,38,3,764
226,41,1516115513492905924,0,33,3,755
226,41,1516115573483995169,0,28,3,761
