co2,co2_derived,co2_smoothed,humidity,light,motion,temperature,person_count
514,-0.2058197808737201,527.0,31,60,0,222,8
506,-0.1608435034038109,522.0,31,60,0,223,8
513,-0.12750993622781556,516.2,31,56,2,223,12
535,-0.06750516478744807,516.8,31,57,2,224,12
513,-0.045008259858581465,516.2,31,55,2,225,12
529,-0.011667192530822879,519.2,31,56,1,225,12
536,0.03750107891236383,525.2,31,57,2,226,12
534,0.05249445426192046,529.4,31,58,2,226,12
523,0.04500087258421558,527.0,31,59,1,227,12
529,0.045835379602471325,530.2,31,61,2,227,12
520,0.01333395142241417,528.4,31,61,1,227,11
514,-0.0225048219238787,524.0,31,59,1,228,11
498,-0.04250201588744793,516.8,30,59,2,228,11
520,-0.058336854872428553,516.2,31,59,1,228,11
520,-0.05833739977942678,514.4,31,60,2,227,11
512,-0.04666224071309656,512.8,31,59,2,227,11
493,-0.03416575536079037,508.6,30,59,1,227,11
486,-0.04166964094377725,506.2,31,59,2,227,11
475,-0.07166973613268544,497.2,30,59,1,227,11
485,-0.09412235160055342,490.2,31,59,0,226,11
503,-0.08418078559513426,488.4,31,60,0,226,11
490,-0.0766709937213105,487.8,31,59,2,225,11
471,-0.051669810948380995,484.8,31,59,1,225,11
487,-0.012508601028098284,487.2,31,60,2,224,11
484,-0.0058335762423094885,487.0,31,58,1,224,11
481,-0.02166731812859618,482.6,31,59,3,224,11
462,-0.026002991222514742,477.0,31,58,2,223,12
471,-0.034002729290052665,477.0,31,58,1,223,12
448,-0.05933829367777414,469.2,31,58,2,222,12
467,-0.05600423682158118,465.8,31,60,1,223,12
462,-0.06250172498119218,462.0,31,59,2,221,12
468,-0.05750538405521361,463.2,31,59,0,221,12
479,-0.018334970640322273,464.8,32,60,1,221,10
464,0.009167643763784648,468.0,32,59,0,221,10
457,0.016667929652335406,466.0,32,59,0,221,10
457,0.007500539438479915,465.0,32,58,2,220,11
456,-0.009166885122067875,462.6,32,59,2,220,10
442,-0.053334885483453956,455.2,32,59,0,220,10
459,-0.049168667979869435,454.2,32,59,2,220,10
456,-0.045834259732413805,454.0,32,60,1,220,10
473,-0.018000995090179942,457.2,32,60,0,220,10
460,0.009333791755303165,458.0,32,61,1,219,10
450,0.01800112130474091,459.6,32,61,2,219,10
449,0.012000785688340744,457.6,32,61,0,219,10
444,-0.00833383873686529,455.2,32,61,1,219,10
423,-0.053338851015998966,445.2,32,61,0,219,10
451,-0.054003375073604566,443.4,32,61,0,218,10
450,-0.04729274701760928,443.4,32,61,0,218,10
440,-0.04533581365167892,441.6,32,61,2,218,10
448,-0.009333881056395762,442.4,32,61,0,218,10
464,0.030002185950998857,450.6,32,61,0,218,10
445,0.02502994548679247,449.4,32,60,1,219,10
438,0.02250180151580539,447.0,32,60,2,218,10
432,0.012500711918684715,445.4,32,60,0,218,11
442,-0.026667788605737285,444.2,32,59,0,218,11
462,-0.015556514991957931,443.8,32,60,0,218,11
438,-0.012778448431824957,442.4,32,60,1,218,11
442,-0.006111390520289957,443.2,32,59,0,218,12
442,0.0027779218978800473,445.2,32,60,2,218,12
459,0.01600103250172376,448.6,32,61,1,218,12
431,0.0,442.4,32,60,0,218,12
451,0.004285887863902647,445.0,32,60,1,218,12
432,-0.005238407141416759,443.0,32,59,2,218,12
434,-0.020000494982465897,441.4,32,58,2,218,12
433,-0.017223476874756706,436.2,32,62,1,218,12
429,-0.025558060735610504,435.8,32,62,0,218,12
436,-0.028335244037186156,432.8,32,62,0,218,12
418,-0.031669448155301094,430.0,32,62,0,218,12
426,-0.03250105939781766,428.4,32,62,2,218,12
408,-0.0516691116556175,423.4,31,62,1,218,12
416,-0.04999999215205634,420.8,32,62,3,218,12
421,-0.05083592751697756,417.8,31,62,1,218,12
421,-0.04166907292923269,418.4,32,62,0,217,12
428,-0.01916765582699056,418.8,32,62,2,217,12
421,0.0025002934383021374,421.4,32,62,0,217,12
428,0.025001389933412117,423.8,32,62,0,217,12
425,0.025835268374179335,424.6,32,61,0,218,12
429,0.030834833488002564,426.2,32,62,1,217,12
424,0.016666176532218795,425.4,32,62,3,217,8
427,0.01166750932858711,426.6,32,61,0,218,8
419,0.0008333360627382509,424.8,32,61,0,218,8
412,-0.016667710574945715,422.2,32,61,1,218,8
432,-0.010834780836766868,422.8,32,61,0,218,8
426,-0.014167042617211318,423.2,32,61,0,217,8
425,-0.008334213985674807,422.8,32,60,2,218,8
437,0.0175016239326995,426.4,32,61,0,217,8
431,0.02466832882530771,430.2,32,60,2,218,8
442,0.03000300051178805,432.2,32,61,1,217,8
427,0.03200185336356164,432.4,32,61,3,218,8
412,0.01133299810553444,429.8,32,61,1,217,8
406,-0.02200131681853197,423.6,32,61,0,217,8
414,-0.03999835745880873,420.2,32,61,0,217,8
404,-0.06600386059453633,412.6,32,60,2,217,8
402,-0.07400814859941114,407.6,32,60,1,217,8
432,-0.050003322037227835,411.6,32,60,0,217,8
405,-0.03667297209102973,411.4,32,60,2,217,8
419,-0.000833377448900849,412.4,32,60,0,217,8
421,0.034169569457473035,415.8,32,60,1,217,8
409,0.02333457812022203,417.2,32,60,2,216,8
